###Seconds (since Midnight UTC) 	 Chan 0 rate 	 Error in Chan0 	 Chan 1 rate 	 Error in Chan1 	 Chan 2 rate 	 Error in Chan2 	 Chan 3 rate 	 Error in Chan3 	 Trigger rate	Error in Triggers 	 Raw BA output 	 Temp (DegC) 	 Bus Voltage 	 #GPS satellites in view 
48868	18.96013	0.25098	19.34219	0.25350	18.31561	0.24668	18.90365	0.25060	7.55482	0.15843	1045	9.6	3.31	08
49169	18.89037	0.25052	19.82724	0.25665	18.93023	0.25078	19.20266	0.25258	7.73090	0.16026	1045	9.7	3.31	08
49470	18.95017	0.25091	19.80399	0.25650	19.03322	0.25146	19.01993	0.25137	7.69103	0.15985	1045	9.6	3.31	08
49771	18.58804	0.24850	18.99668	0.25122	18.55150	0.24826	18.75083	0.24959	7.44518	0.15727	1045	9.7	3.31	08
50071	18.83333	0.25055	18.91333	0.25109	18.38000	0.24752	18.89000	0.25093	7.66333	0.15983	1045	9.7	3.305	07
50372	18.99668	0.25122	19.15947	0.25229	18.84053	0.25019	18.90033	0.25058	7.77076	0.16068	1045	9.6	3.31	08
50673	18.78738	0.24983	19.50166	0.25454	18.53821	0.24817	18.84385	0.25021	7.61794	0.15909	1045	9.7	3.305	07
50974	19.11960	0.25203	19.68106	0.25571	19.19269	0.25251	19.23588	0.25280	7.83056	0.16129	1045	9.7	3.305	07
51275	18.87708	0.25043	19.45515	0.25423	18.55814	0.24830	18.50831	0.24797	7.74751	0.16043	1045	9.6	3.296	07
51576	18.80731	0.24997	19.27907	0.25308	18.95017	0.25091	19.17608	0.25240	7.69435	0.15988	1046	9.7	3.31	09
51877	19.33223	0.25343	19.55814	0.25491	18.80066	0.24992	19.17276	0.25238	8.03654	0.16340	1046	9.7	3.291	10
52177	18.72000	0.24980	19.30000	0.25364	18.77333	0.25016	18.92333	0.25115	7.75333	0.16076	1046	9.7	3.3	10
52478	18.21927	0.24603	18.74751	0.24957	18.15282	0.24558	18.56478	0.24835	7.40864	0.15689	1046	9.7	3.31	07
